"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","12/52","109/9370",0.110091743119266,19.8376852505293,14.7774255944528,4.63538371135691e-13,9.01792831118526e-12,2.43967563755627e-12,"PIK3CA/MAP2K1/TLR9/IRAK4/PIK3CB/PIK3CD/TYK2/MAPK10/JAK1/MAPK14/MAPK8/MAPK9",12
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","12/52","130/9370",0.0923076923076923,16.6331360946746,13.4081462204988,3.92087945250611e-12,6.3955624624009e-11,1.73023086784087e-11,"MMP1/EGFR/PIK3CA/MAP2K1/MMP13/PIK3CB/PIK3CD/SRC/MAPK10/MAPK14/MAPK8/MAPK9",12
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","10/52","71/9370",0.140845070422535,25.3791982665222,15.4034288924224,3.97705435848799e-12,6.3955624624009e-11,1.73023086784087e-11,"MTOR/EGFR/PIK3CA/MAP2K1/RET/MET/PIK3CB/PIK3CD/FLT3/SCO2",10
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","17/52","362/9370",0.0469613259668508,8.46206969825754,10.8164895722444,4.18401282586974e-12,6.3955624624009e-11,1.73023086784087e-11,"MTOR/EGFR/PIK3CA/MAP2K1/KDR/RET/MET/PIK3CB/CDK2/CDK4/PIK3CD/JAK2/PIK3CG/JAK1/GSK3B/FLT3/HSP90AA1",17
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","14/52","216/9370",0.0648148148148148,11.6791310541311,11.8616273509926,6.41282041012164e-12,9.14895711844021e-11,2.47512366706449e-11,"MMP1/PIK3CA/CASP3/IRAK4/PIK3CB/PIK3CD/JAK2/SRC/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9/HSP90AA1",14
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","12/52","156/9370",0.0769230769230769,13.8609467455621,12.1003539284562,3.44621546094845e-11,4.60931317901855e-10,1.24698585758003e-10,"EGFR/PIK3CA/CTNNB1/MAP2K1/CASP3/PIK3CB/CDK2/CDK4/PIK3CD/TYK2/JAK1/GSK3B",12
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","11/52","120/9370",0.0916666666666667,16.5176282051282,12.7800348192653,3.70804944345171e-11,4.66777988763921e-10,1.26280321603619e-10,"PIK3CA/MAP2K1/ABL1/IRAK4/PIK3CB/PIK3CD/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9",11
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","14/52","248/9370",0.0564516129032258,10.1721464019851,10.935501961951,4.1480945790297e-11,4.85988158363384e-10,1.31477366994521e-10,"PIK3CA/CTNNB1/MAP2K1/TLR9/CASP3/IRAK4/PIK3CB/PIK3CD/PIK3CG/MAPK10/MAPK14/MAPK8/MAPK9/HSP90AA1",14
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","11/52","122/9370",0.0901639344262295,16.2468474148802,12.6626031770415,4.4468578348421e-11,4.85988158363384e-10,1.31477366994521e-10,"MTOR/PIK3CA/MAP2K1/PIK3CB/PIK3CD/JAK2/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9",11
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","10/52","90/9370",0.111111111111111,20.0213675213675,13.5449043248788,4.55756028587968e-11,4.85988158363384e-10,1.31477366994521e-10,"MTOR/EGFR/PIK3CA/MAP2K1/TLR9/PIK3CB/PIK3CD/JAK2/JAK1/MAPK14",10
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","13/52","203/9370",0.0640394088669951,11.5394088669951,11.3406407863167,4.76904267552853e-11,4.85988158363384e-10,1.31477366994521e-10,"EGFR/PIK3CA/CTNNB1/MAP2K1/KDR/MET/PIK3CB/PIK3CD/SRC/MAPK10/GSK3B/MAPK8/MAPK9",13
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","13/52","204/9370",0.0637254901960784,11.4828431372549,11.3081401573874,5.07362485593462e-11,4.93525326895458e-10,1.33516443577227e-10,"MTOR/EGFR/PIK3CA/CTNNB1/MAP2K1/KDR/CASP3/PLAU/MET/PIK3CB/PIK3CD/SRC/MAPK14",13
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","13/52","205/9370",0.0634146341463415,11.4268292682927,11.2758657479638,5.39586647257236e-11,5.02050184839341e-10,1.35822725854224e-10,"PIK3CA/CASP3/IRAK4/PIK3CB/CDK2/CDK4/PIK3CD/TYK2/MAPK10/JAK1/MAPK14/MAPK8/MAPK9",13
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","10/52","101/9370",0.099009900990099,17.8408225437928,12.7114321497301,1.46298569537391e-10,1.30449557837507e-09,3.52913215989321e-10,"PIK3CA/CASP3/PIK3CB/CDK4/PIK3CD/JAK2/MAPK10/MAPK14/MAPK8/MAPK9",10
